office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
SENATOR EDWARD MARKEY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,222,TRAVEL AND TRANSPORTATION OF PERSONS,226,33220.21,33220.21,ok,segment
SENATOR EDWARD MARKEY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,222,OTHER CONTRACTUAL SERVICES,226,9061.25,9061.25,ok,segment
SENATOR EDWARD MARKEY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,222,ACQUISITION OF ASSETS,226,499.0,499.0,ok,segment
SENATOR EDWARD MARKEY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,228,PERSONNEL COMP. FULL-TIME PERMANENT,229,1874388.94,1874388.94,ok,segment
SENATOR EDWARD MARKEY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,228,PERSONNEL BENEFITS,229,7495.65,0.0,no_records,segment
SENATOR EDWARD MARKEY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,228,NET PAYROLL EXPENSES,229,1881884.59,1874388.94,fail,block_running_total
SENATOR EDWARD MARKEY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,228,TRAVEL AND TRANSPORTATION OF PERSONS,235,29233.66,29233.66,ok,segment
SENATOR EDWARD MARKEY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,228,OTHER CONTRACTUAL SERVICES,235,13155.4,13155.4,ok,segment
INTERN COMPENSATION - MARKEY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,236,PERSONNEL COMP. FULL-TIME PERMANENT,236,39115.93,39115.93,ok,segment
INTERN COMPENSATION - MARKEY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,236,NET PAYROLL EXPENSES,236,39115.93,39115.93,ok,block_running_total
SENATOR ROGER MARSHALL,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,237,PERSONNEL BENEFITS,237,391.7,0.0,no_records,segment
SENATOR ROGER MARSHALL,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,237,NET PAYROLL EXPENSES,237,391.7,0.0,no_records,block_running_total
