office,funding_year,account,start_page,label,check_page,expected,actual,status,basis,second_opinion,independent_sum,context
INTERN COMPENSATION - KLOBUCHAR,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,111,NET PAYROLL EXPENSES,111,19769.42,19769.42,ok,block_running_total,,,
INTERN COMPENSATION - KLOBUCHAR,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,111,BANNER NET PAYROLL,111,19769.42,19769.42,ok,banner,,,
INTERN COMPENSATION - KLOBUCHAR,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,111,BANNER ORGANIZATION TOTALS,111,19769.42,19769.42,ok,banner,,,
SENATOR JAMES LANKFORD,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,112,BANNER NET PAYROLL,112,0.0,0.0,banner_missing,banner,,,
SENATOR JAMES LANKFORD,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,112,BANNER ORGANIZATION TOTALS,112,0.0,0.0,ok,banner,,,
INTERN COMPENSATION - LANKFORD,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,113,BANNER NET PAYROLL,113,0.0,0.0,banner_missing,banner,,,
INTERN COMPENSATION - LANKFORD,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,113,BANNER ORGANIZATION TOTALS,113,0.0,0.0,ok,banner,,,
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,114,TRAVEL AND TRANSPORTATION OF PERSONS,119,16241.51,16241.51,ok,segment,,,
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,114,OTHER CONTRACTUAL SERVICES,119,41004.0,41004.0,ok,segment,,,
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,114,ACQUISITION OF ASSETS,119,22445.89,22445.89,ok,segment,,,
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,114,BANNER NET PAYROLL,114,15833.32,0.0,banner_missing,banner,,,
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,114,BANNER ORGANIZATION TOTALS,114,81492.16,79691.4,warn,banner,,,banner_only_categories
INTERN COMPENSATION - LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,120,BANNER NET PAYROLL,120,0.0,0.0,banner_missing,banner,,,
INTERN COMPENSATION - LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,120,BANNER ORGANIZATION TOTALS,120,0.0,0.0,ok,banner,,,
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,PERSONNEL COMP. FULL-TIME PERMANENT,122,1808019.63,1808019.63,ok,segment,,,
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,PERSONNEL BENEFITS,122,1091.0,0.0,no_records,segment,,,
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,NET PAYROLL EXPENSES,122,1809110.63,1809110.63,ok,block_running_total,,,
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,TRAVEL AND TRANSPORTATION OF PERSONS,143,93373.41,93373.41,ok,segment,,,
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,OTHER CONTRACTUAL SERVICES,143,1048.72,1048.72,ok,segment,,,
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,ACQUISITION OF ASSETS,143,4374.7,4374.7,ok,segment,,,
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,BANNER NET PAYROLL,121,1777443.99,1809110.63,fail,banner,,,fy_boundary_pattern
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,BANNER ORGANIZATION TOTALS,121,1933242.01,1907907.46,warn,banner,,,captured_bvb_mismatch
INTERN COMPENSATION - LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,144,PERSONNEL COMP. FULL-TIME PERMANENT,144,26988.72,26988.72,ok,segment,,,
INTERN COMPENSATION - LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,144,NET PAYROLL EXPENSES,144,26988.72,26988.72,ok,block_running_total,,,
