office,funding_year,start_page,status,banner_status,record_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
MINORITY WHIP (R),2021,44,ok,fail,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2019,45,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2020,46,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2021,47,ok,fail,1,0,1,125.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2019,48,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2020,49,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (R),2021,50,ok,fail,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2019,51,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2020,52,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2021,53,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2019,54,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2020,55,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2021,56,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2019,57,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2020,58,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2021,59,ok,ok,116,0,116,7155030.34,0.0,0,0
CHAPLAIN,2019,62,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAPLAIN,2020,63,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAPLAIN,2021,64,ok,ok,4,0,4,290949.84,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2021,65,ok,ok,47,0,47,1307269.31,0.0,0,0
PRES PRO TEM EMERITUS (D),2019,67,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (D),2020,68,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2021,69,ok,ok,4,0,4,293903.12,0.0,0,0
MINORITY LEADER (D),2019,70,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2020,71,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2021,72,ok,ok,28,0,28,1399946.58,0.0,0,0
MINORITY WHIP (D),2019,74,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2020,75,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2021,76,ok,fail,23,0,23,895257.66,0.0,0,0
MINORITY CONFERENCE COMMITTEE (D),2019,77,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY CONFERENCE COMMITTEE (D),2020,78,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2021,79,ok,ok,38,0,38,756490.41,0.0,0,0
MINORITY POLICY COMMITTEE (D),2019,81,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (D),2020,82,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2021,83,ok,fail,29,0,29,895685.34,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (D)",2019,85,ok,banner_missing,0,0,0,0.0,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (D)",2020,86,ok,banner_missing,0,0,0,0.0,0.0,0,0
